Índice;;;;;;;;;;;;;;;
COD (NUTS2013);Designação;1º Quartil das vendas por m² de alojamentos familiares nos últimos 12 meses;;;;;Valor mediano das vendas por m² de alojamentos familiares nos últimos 12 meses;;;;;3º Quartil das vendas por m² de alojamentos familiares nos últimos 12 meses;;;
;;4ºT 2023;3ºT2023;2ºT2023;1ºT2023;;4ºT 2023;3ºT2023;2ºT2023;1ºT2023;;4ºT 2023;3ºT2023;2ºT2023;1ºT2023
16G;Viseu Dão Lafões;362;364;369;395;;753;752;734;753;;1 216;1 205;1 176;1 178
16G0901;Aguiar da Beira;133;133;175;227;;343;396;400;428;;655;678;833;833
16G1802;Carregal do Sal;283;256;253;313;;541;533;514;543;;843;870;778;825
16G1803;Castro Daire;213;213;232;250;;423;423;500;526;;778;805;766;766
16G1806;Mangualde;208;201;205;237;;546;524;527;544;;853;833;810;781
16G1809;Nelas;324;324;321;300;;579;580;593;582;;843;838;828;821
16G1810;Oliveira de Frades;316;296;286;347;;603;662;643;670;;1 023;1 015;975;975
16G1811;Penalva do Castelo;143;128;125;121;;432;365;361;398;;759;754;708;702
16G1814;Santa Comba Dão;249;292;271;309;;484;525;517;522;;763;763;752;767
16G1816;São Pedro do Sul;371;345;448;448;;828;775;835;831;;1 308;1 250;1 276;1 236
16G1817;Sátão;262;299;242;300;;514;495;533;552;;776;818;780;800
16G1821;Tondela;306;283;301;313;;606;576;582;623;;1 057;1 033;960;991
16G1822;Vila Nova de Paiva;327;219;133;133;;498;452;340;283;;833;737;513;462
16G1823;Viseu;704;677;665;698;;1 185;1 169;1 137;1 150;;1 598;1 566;1 505;1 501
16G1824;Vouzela;284;290;280;234;;640;603;556;463;;1 090;1 063;971;889
16H;Beira Baixa;255;257;261;265;;549;549;561;569;;933;933;941;923
16H0502;Castelo Branco;367;379;392;392;;742;741;728;721;;1 049;1 036;1 044;1 021
16H0505;Idanha-a-Nova;143;119;121;121;;278;290;319;299;;500;505;551;547
16H0507;Penamacor;168;167;152;151;;314;301;329;270;;527;517;514;497
16H0508;Proença-a-Nova;211;205;211;265;;449;430;372;475;;704;678;630;741
16H0511;Vila Velha de Ródão;157;127;121;121;;273;278;256;234;;450;435;461;464
16I;Médio Tejo;465;470;451;436;;822;808;793;763;;1 164;1 149;1 110;1 066
16I1401;Abrantes;338;374;308;300;;625;608;577;555;;920;865;832;794
16I1402;Alcanena;274;256;261;263;;492;479;443;469;;819;807;742;750
16I1408;Constância;337;486;367;361;;737;741;675;675;;1 314;1 341;1 072;934
16I1410;Entroncamento;847;792;762;728;;1 027;969;930;899;;1 207;1 172;1 132;1 092
16I1411;Ferreira do Zêzere;391;416;399;416;;675;708;709;722;;1 169;1 180;1 111;1 111
16I1413;Mação;118;144;139;132;;273;322;289;252;;544;600;579;583
16I1421;Ourém;617;635;676;658;;960;1 022;998;971;;1 391;1 490;1 430;1 386
16I1417;Sardoal;215;203;234;211;;488;458;444;421;;804;756;742;620
16I0509;Sertã;390;359;368;386;;612;640;723;753;;1 008;1 001;1 028;1 026
16I1418;Tomar;510;467;448;417;;937;897;854;817;;1 454;1 382;1 300;1 220
16I1419;Torres Novas;474;477;472;446;;812;809;795;765;;1 093;1 090;1 061;1 038
16I0510;Vila de Rei;170;206;182;226;;400;463;453;515;;909;921;921;1 017
16I1420;Vila Nova da Barquinha;535;525;535;534;;989;988;964;836;;1 258;1 173;1 175;1 140
16J;Beiras e Serra da Estrela;260;267;262;261;;573;575;564;578;;941;942;918;911
16J0902;Almeida;181;143;118;107;;336;284;252;233;;565;491;385;404
16J0501;Belmonte;337;373;348;313;;625;639;612;600;;973;977;1 038;939
16J0903;Celorico da Beira;142;154;150;154;;295;317;309;356;;575;611;645;663
16J0503;Covilhã;435;454;459;479;;824;828;814;792;;1 176;1 187;1 126;1 121
16J0904;Figueira de Castelo Rodrigo;70;73;88;86;;185;140;209;143;;352;313;370;390
16J0905;Fornos de Algodres;201;170;115;132;;405;378;215;217;;618;566;459;464
16J0504;Fundão;289;296;278;297;;606;616;587;595;;984;979;951;937
16J0906;Gouveia;210;202;210;222;;446;408;397;409;;720;666;627;627
16J0907;Guarda;350;350;385;442;;706;706;737;748;;1 025;1 092;1 090;1 034
16J0909;Mêda;53;66;110;124;;156;163;233;284;;417;464;568;523
16J0910;Pinhel;114;87;120;100;;315;280;286;250;;587;520;536;536
16J0911;Sabugal;213;226;200;158;;391;400;356;333;;630;669;590;586
16J0912;Seia;286;286;286;256;;527;519;519;504;;867;854;795;752
16J0913;Trancoso;181;151;151;129;;357;314;400;311;;746;625;670;600
17;Área Metropolitana de Lisboa;1 789;1 743;1 687;1 642;;2 341;2 283;2 222;2 166;;3 390;3 318;3 216;3 113
170;Área Metropolitana de Lisboa;1 789;1 743;1 687;1 642;;2 341;2 283;2 222;2 166;;3 390;3 318;3 216;3 113
1701502;Alcochete;1 636;1 609;1 389;1 440;;2 086;2 002;1 890;1 885;;2 639;2 541;2 491;2 526
1701503;Almada;1 892;1 827;1 777;1 781;;2 374;2 331;2 267;2 238;;3 016;2 916;2 823;2 757
1701115;Amadora;1 881;1 852;1 769;1 712;;2 260;2 223;2 154;2 108;;2 654;2 616;2 543;2 494
1701504;Barreiro;1 380;1 336;1 324;1 281;;1 687;1 634;1 595;1 556;;1 980;1 924;1 868;1 814
1701105;Cascais;3 057;2 951;2 843;2 781;;3 976;3 831;3 667;3 574;;5 466;5 234;4 947;4 857
